PC1,PC2,Cluster
0.2678670282211336,-3.961057324422413,1
1.3036440942348706,0.3859286726487327,2
-1.5553419364510235,-0.9630258212926189,0
-0.46237396544982046,-0.4860773500975161,0
2.331463166918975,-2.4374039822486653,1
2.6694495996043544,0.9171873558040347,2
3.9540858673994155,1.3387378655069428,2
-0.9605313143914915,-1.6034916964585044,0
0.9723992459092793,-0.489561403138616,1
0.8425405957618887,3.9269777580111227,2
-1.5251758956739978,-2.7687811688972688,1
1.414734647264146,0.13528677151919366,2
-4.701444650882699,1.4413213633132396,0
0.9647078118584732,0.5836033831627009,2
1.117747352429195,-0.042259590934629,2
2.0581217997458205,1.7828389617216531,2
0.11345785725416792,0.21797140003587798,0
2.948666463951481,-2.3415223454835887,1
-2.9570806705170076,-1.2821336147561466,0
-0.11259783756041016,-0.3198283321225039,0
-0.690697918663676,1.2114133044839923,0
-1.6306666596815969,1.1759263202272736,0
-0.3257181969132792,-1.466863683201708,1
3.247480971880573,0.27149632456132944,2
-2.274989273459985,0.9792005943246983,0
-1.735911424798703,-2.2725112585638154,0
2.495486101230357,3.1833217713810256,2
-0.9164035788535341,1.5017695527133177,0
-1.2518582619604874,2.4737054913365055,0
-3.301864892931408,2.1753679214017416,0
-0.8231487079159838,-2.9832554791135144,1
-0.907572005021352,-0.10057759055276456,0
-0.7631538844077094,-2.947255741539826,1
1.62566075810394,-2.9702294682274606,1
2.6041773532637946,0.39346742252723177,2
2.7652033171847097,0.7110603571467797,2
-2.007284295937156,-1.2720562224057201,0
0.8059552162062349,-3.6104631402084957,1
-0.04009211702829726,-1.026483557314126,1
-1.2772143210905733,-4.52765522038277,1
2.2816294168403655,2.0079722836629488,2
1.2668771078371865,-2.7399207990165766,1
3.421539092703742,0.6372956714731146,2
-1.4255217972681957,-0.5059488907012267,0
-3.1534362566969594,0.9783911280854417,0
-1.7751913168652191,0.8900290112652369,0
-3.092631769215443,-1.5265176615949405,0
0.6424889926569496,1.0841531086256395,2
0.48284121963903104,4.514523289035875,2
-2.321288541325206,-0.3984028200147719,0
-3.1387373739210624,1.3713054178234874,0
-2.565294504672419,-1.3507940327694452,0
-0.7641061669137469,1.3363083223763232,0
-1.90838939925611,1.8324302027668804,0
-1.326788438382011,3.2259454684190487,0
1.6562721432614138,0.7624861504199056,2
